spec_code,box,square,locus,basket,layer,taxon,element,zone,,sub.element,side,DR<50%,DR>50%,feature,scan_site,epifusion,TWS,length(mm),colour,Mn_stain,ToolMarks,Binford_code,burn,animal_mod,pit_mm,wthr,frctr,abrasion,trampling,rootetch,MWII,MWS_location,crown_height,notes,length,breadth,depth,other
NR-0377,6,,117,1162,7a,gazella,astragalus,AS2,,,,,"1,2",,,,,,,,,,,,,,,,,,,,,broken in half ,Bd=15.2,,,
NR-0378,6,,,,uncertain,capra,phalanx_2,"PH21,PH22,PH23",,,,"1,2,3",,,,dF,,19.9,reddish,,,,,,,,green-2,,,,,,,split in half (special bag ),,,,
NR-0379,6,,115,1158,6,capra,phalanx_1,"PH12,PH13",,,,2,3,,,dF,,25.1,reddish,,,,,,,,mixed-2,,,,,,,,,,,
NR-0380,6,,115,1189,6,capra,phalanx_2,PH21,,,,1,,,,pF,,12.7,reddish,,,,2,,,,,,,,,,,,,,,
NR-0381,6,,115,1158,6,bovid_2,rib,"RI3,RI4",,,,"2,3",,,,,,25.8,reddish,,,,,,,,,,,,,,,,,,,
NR-0382,6,,114,1175,7b,bovid_2,rib,"RI3,RI4",,,,"2,3",,,,,,50.8,light,1,,,,,,,,,,,,,,,,,,
NR-0383,6,,114,1175,7b,bovid_2,tibia,TI3,,,,"8,7",,,,,,50.5,reddish,1,cut,Tp3,,,,,green-2,,,,,,,(special bag),,,,
NR-0384,6,,114,1175,7b,gazella,radius,RA2,,,,6,,,,,,35.4,light,,cut,RCp2,3,,,,green-2,,,,,,,(special bag),,,,
NR-0385,6,,114,1137,7b,gazella,femur,"FE4,FE5",,,,"7,6",,,,,,72.6,reddish,1,,,,,,,mixed-2,,,,,,,right,,,,
NR-0386,6,,117,1178,7a,gazella,femur,FE5,,,,"7,8",,,,,,59.7,reddish,,,,2,,,,green-2,,,,,,,,,,,
NR-0387,6,,115,1189,6,bovid_2,mandible,"DN2,DN4",,,,"1,2",3,,,,,31.5,reddish,,,,,,,,,,,,,,,left,,,,
NR-0388,6,,115,1158,6,bovid_2,radius,RA2,,,,6,,,,,,29.9,black,,,,2,,,,green-2,,,,,,,,,,,
NR-0389,6,,115,1158,6,gazella,femur,"FE4,FE5",,,,"6,7",,,,,,56.3,reddish_black,1,,,,,,,mixed-2,,,,,,,,,,,
NR-0390,6,,115,1158,6,bovid_2,tibia,TI3,,,,"8,9",,,,,,53.1,light,,,,,,,,green-2,,,,,,,,,,,
NR-0391,6,,115,1158,6,gazella,tibia,"TI3,TI4",,,,"8,9,10",,,,,,92.6,reddish,,,,,,,,green-2,,,,,,,,,,,
NR-0392,6,,115,1158,6,bovid_2,vert_l,LU1,,,,"2,3",,,,,,17.6,reddish,,,,,,,,,,,,,,,,,,,
NR-0393,6,,115,1158,6,bovid_2,metacarpal,MP1,,,,1,,,,,,38.8,reddish,,,,,,,,green-2,,,,,,,,,,,
NR-0394,6,,114,1137,7b,bovid_2,humerus,HU5,,,,8,,,,,,42.7,reddish,,,,,,,,mixed-2,,,,,,,right,,,,
NR-0395,6,,115,1158,6,bovid_2,mandible,DN4,,,,1,,,,,,39,reddish,,,,,,,,green-2,,,,,,,,,,,
NR-0396,6,,114,1175,7b,bovid_2,femur,FE5,,,,"7,8",,,,,,38.8,reddish,1,,,,,,,green-2,,,,,,,,,,,
NR-0397,6,,109,1186,5,gazella,phalanx_1,"PH11,PH12,PH13",,,,"1,2,3",,,,,,26.4,reddish,,,,,,,,,,,,,,,split in half (special bag ),,,,
NR-0398,6,,114,1175,7b,bovid_2,rib,PH2,,,,1,,,,,,15.7,reddish,,,,,,,,,,,,,,,,,,,
NR-0399,6,,,,uncertain,capra,maxilla,P4,,P4,,,,,,,,21.4,reddish,,,,,,,,,,,,3,,,,,,,
NR-0400,6,,109,1098,5,bovid_2,rib,RI2,,,,1,,,,,,20.5,reddish,,,,,,,,,,,,,,,,,,,
NR-0401,6,,115,192,6,bovid_2,rib,RI3,,,,2,,,,,,32.5,black,,,,2,,,,,,,,,,,,,,,
NR-0402,6,,114,1137,7b,bovid_2,mandible,DN4,,,,1,,,,,,20.4,reddish,,,,,,,,,,,,3,,,,,,,
NR-0403,6,,114,1137,7b,bovid_2,mandible,DN2,,,,7,,,,,,19.3,reddish,,,,,,,,,,,,,,,broken,,,,
NR-0405,6,,117,1178,7a,bovid_2,calcaneus,"CA2,CA4",,,,"3,2",,,,,,26.4,reddish,,,,,,,,,,,,,,,left,,,,
NR-0406,6,,114,1137,7b,capra,phalanx_3,"PH31,PH32",,,,,"1,2,3",,,,,32.3,reddish,,,,,,,,,,,,,,,,GL=32.2,GB=19.5,,
NR-0407,6,,114,1137,7b,bovid_2,mandible,"DN7,DN8",,,,"5,4",,,,,,45.2,reddish,1,,,,,,,,,,,,,,left,,,,
NR-0408,6,,114,1137,7b,capra,mandible,m1,,M1,,,,,,,,34,reddish,1,,,,,,,,,,,2,,,left,,,,
NR-0409,6,,114,1137,7b,capra,metacarpal,"MP1,MP2",,,,"1,5",,,,,,82.6,reddish,1,,,,,,,mixed-2,,,,,,,,,,,
NR-0410,6,,117,1178,7a,bovid_2,radius,"RA1,RA2",,,,"5,7,6",,,,,,76.7,reddish,1,,,,,,,mixed-2,some,,,,,,left,,,,
NR-0412,6,,109,1186,5,bovid_2,mandible,DN8,,,,4,,,,,,37,reddish,,,,,,,,,,,,,,,,,,,
NR-0415,6,,114,1175,7b,bovid_2,scapula,SP2,,,,5,,,,,,70.4,reddish,1,,,,,,,,,,,,,,right,,,,
NR-0416,6,,114,1175,7b,bovid_2,rib,RI2,,,,1,,,,,,20.9,reddish,,,,,,,,,,,,,,,,,,,
NR-0417,6,,109,1186,5,gazella,phalanx_2,"PH21,PH22,PH23",,,,"1,2,3",,,,dF,,21.5,reddish,,,,,,,,green-1,,,,,,,split in half (special bag ),,,,
NR-0418,6,,109,1186,5,bovid_2,femur,FE4,,,,6,,,,,,34.6,light,,,,1,,,,green-2,,,,,,,,,,,
NR-0419,6,,109,1153,5,bovid_2,metapodial,MP2,,,,"5,6",,,,,,33.6,reddish,1,,,,,,,mixed-2,,,,,,,,,,,
NR-0421,6,,115,1158,6,bovid_2,metatarsal,MP2,,,,"5,6",,,,,,63.1,reddish,,,,,,,,mixed-2,,,,,,,,,,,
NR-0422,6,,104,1042,3,bovid_2,tibia,TI2,,,,7,,,,,,29.7,reddish,1,,,,,,,green-2,,,,,,,,,,,
NR-0424,6,,114,1175,7b,gazella,scapula,SP2,,,,5,,,,,,26.3,reddish,,,,,,,,,some,,,,,,,,,,
NR-0425,6,,115,1158,6,bovid_2,tibia,TI2,,,,7,,,,,,77.7,reddish,,,,,,,,mixed-2,,,,,,,,,,,
NR-0426,6,,115,1189,6,bovid_2,scapula,SP4,,,,"7,6",,,,,,48.4,reddish,,,,,,,,,,,,,,,,,,,
NR-0427,6,,109,1181,5,capra,phalanx_3,"PH31,PH32",,,,,"1,2",,,,,18.7,gray_white,,cut,,3,,,,,,,,,,,(special bag ),,,,
NR-0428,6,,109,1168,5,capra,scapula,SP1,,,,,"1,2,3",,,,,42.7,light,,,,,,,,,some,,,,,,,,,,
NR-0429,6,,115,1150,6,capra,phalanx_1,"PH12,PH13",,,,2,3,,,,,22.7,black,,,,2,,,,,,,,,,,,,Bd=12.6,Dd=10.5,
NR-0430,6,,114,1175,7b,bovid_2,vert_t,TH2,,,,4,,,,,,21.3,reddish,,,,,,,,,,,,,,,,,,,
NR-0431,6,,114,1175,7b,bovid_2,femur,"FE4,FE5",,,,"6,8,7",,,,,,42.2,reddish,1,cut,,,,,,green-2,,,,,,,,,,,
NR-0432,6,,115,1158,6,capra,phalanx_1,"PH11,PH12",,,,2,1,,,pF,,24.3,light,1,,,,,,,green-2,,,,,,,(special bag ),,Bp=13.4,,
NR-0433,6,,114,1137,7b,bovid_2,tibia,"TI2,TI3",,,,"7,8",,,,,,68.6,reddish,1,cut,Tp5,,rodent,,,mixed-2,some,,,,,,(special bag ) left ,,,,
NR-0434,6,,114,1175,7b,bovid_2,humerus,HU4,,,,7,,,,,,51.6,reddish_black,2,cut,,,,,,mixed-2,,,,,,,,,,,
NR-0435,6,,109,1168,5,bovid_2,humerus,HU4,,,,"8,7,",,,,,,55.8,reddish,1,,,,,,,mixed-2,,,,,,,,,,,
NR-0436,6,,109,1168,5,bovid_2,rib,RI4,,,,3,,,,,,47.2,light,,,,,,,,,,,,,,,,,,,
NR-0437,6,,117,117,7a,bovid_2,humerus,HU4,,,,"7,8",,,,,,33.4,reddish,,,,,,,,dry-2,,,,,,,,,,,
NR-0438,6,,114,1137,7b,bovid_2,metacarpal,MP4,,,,"8,7",,,,,,45.5,light,1,,,,,,,green-2,,,,,,,,,,,
NR-0439,6,,115,1189,6,bovid_2,tibia,TI3,,,,"8,9",,,,,,50.9,reddish,,,,,,,,mixed-2,,,,,,,,,,,
NR-0440,6,,114,1175,7b,bovid_2,tibia,TI3,,,,"8,9",,,,,,41.4,reddish,,,,,,,,green-2,,,,,,,,,,,
NR-0441,6,,114,1175,7b,bovid_2,radius,"RA2,RA3",,,,"5,6,8",,,,,,50.5,reddish,1,,,,,,3,mixed-2,,,,,,,,,,,
NR-0442,6,,114,1175,7b,bovid_2,radius,RA2,,,,5,,,,,,57.8,reddish,1,,,,,,,mixed-2,,,,,,,left ,,,,
NR-0443,6,,109,1084,5,bovid_2,pelvis,AC1,,ilium,,,1,,,,,22.3,reddish_black,2,,,,,,,,some,,,,,,right,,,,
NR-0445,6,,109,1098,5,bovid_2,tibia,TI2,,,,7,,,,,,,black,,,,3,,,,green-2,,,,,,,,,,,
NR-0446,6,,114,1175,7b,bovid_2,radius,"RA1,RA2",,,,5,2,,,,,54.3,reddish,1,,,,,,,mixed-2,,,,,,,,,,,
NR-0448,6,,110,1180,3,bovid_2,vert_c,CE1,,,,1,,,,,,22.4,reddish,,,,,,,,,,,,,,,,,,,
NR-0449,6,,109,1185,5,gazella,phalanx_1,"PH11,PH12",,,,2,1,,,,,19.6,reddish,,,,,,,,,,,,,,,broken ,,,,
NR-0452,6,,109,1186,5,bovid_2,radius,RA2,,,,5,,,,,,50.1,reddish,,,,,,,,green-2,,,,,,,,,,,
NR-0453,6,,109,1186,5,bovid_2,femur,FE1,,,,,4,,,pUE,,22.4,gray_white,,,,,,,,,,,,,,,,,,,
NR-0455,6,,109,1168,5,bovid_2,rib,RI4,,,,3,,,,,,,black,,,,2,,,,,,,,,,,,,,,
NR-0457,6,,115,1158,6,bovid_2,femur,FE4,,,,6,,,,,,45.5,reddish,,,,,,,,green-2,,,,,,,,,,,
NR-0458,6,,109,1153,5,bovid_2,tibia,"TI4,TI5",,,,"6,10",,,,dF,,40.8,reddish,,,,,,,,mixed-2,,,,,,,,,,,
NR-0459,6,,114,1175,7b,bovid_2,tibia,TI5,,,,6,,,,dF,,19.1,light,,,,3,,,,,,,,,,,,,,,
NR-0460,6,,115,1189,6,bovid_2,vert_t,TH1,,,,1,,,,,,18.8,light,,,,,,,,,,,,,,,,,,,
NR-0461,6,,109,1186,5,bovid_2,mandible,DN7,,,,5,,,,,,29.5,reddish_black,,,,2,,,,,,,,,,,,,,,
NR-0462,6,,109,1168,5,bovid_2,metacarpal,MP1,,,,"1,2",,,,,,30.4,light,1,,,,,,,mixed-2,some,,,,,,,,,,
NR-0463,6,,109,1181,5,bovid_2,patella,PA1,,,,,,,,,,25.5,reddish,,,,,,,,,,,,,,,,,,,
NR-0464,6,,109,1181,5,bovid_2,tibia,TI2,,,,7,,,,,,55.4,reddish,1,,,,,,,green-2,,,,,,,,,,,
NR-0465,6,,109,1168,5,bovid_2,radius,RA3,,,,"7,8",,,,,,65.6,reddish,1,,,,,,,green-2,,,,,,,,,,,
NR-0466,6,,109,1084,5,bovid_2,humerus,HU4,,,,"7,8",,,,,,42.8,gray_white,,,,3,,,,mixed-2,,,,,,,,,,,
NR-0467,6,,109,1153,5,bovid_2,metacarpal,MP1,,,,"2,8",,,,,,46.4,reddish,,,,,,,,green-2,,,,,,,,,,,
NR-0468,6,,109,1181,5,bovid_2,radius,RA2,,,,"5,6",,,,,,46.9,reddish_black,1,,,,,,,green-2,,,,,,,,,,,
NR-0469,6,,109,1186,5,bovid_2,metacarpal,MP2,,,,5,,,,,,49.4,reddish,,,,,,,,green-2,,,,,,,,,,,
NR-0470,6,,109,1168,5,bovid_2,mandible,"m3,DN4",,M3,,1,,,,,no_wear,,light,,,,,,,,,,,,1,,broken ,,,,,
NR-0471,6,,109,1181,5,bovid_2,humerus,HU3,,,,"10,9",,,,,,43.3,light,,,,,,,,mixed-2,,,,,,,,,,,
NR-0472,6,,109,1184,5,bovid_2,tibia,TI3,,,,8,,,,,,58.5,gray_white,1,,,,,,,green-2,,,,,,,,,,,
NR-0473,6,,109,1042,5,bovid_2,tibia,TI3,,,,"8,9",,,,,,65.2,light,1,,,,,,,mixed-2,,,,,,,,,,,
NR-0474,6,,109,1168,5,bovid_2,radius,RA2,,,,5,,,,,,59.6,reddish,,,,,,,,green-2,,,,,,,,,,,
NR-0475,6,,109,1181,5,bovid_2,maxilla,M3,,M3 broken,,,,,,,,28.2,reddish,,,,,,,,,,,,,,broken,,,,,
NR-0476,6,,109,1186,5,bovid_2,maxilla,P2,,P2,,,,,,,late_wear,21.4,reddish_black,,,,2,,,5,,,,,,,,,,,,
NR-0477,6,,109,1084,5,bovid_2,patella,PA1,,,,,,,,,,24.7,reddish_black,,,,,,,,,,,,,,,,,Bd=8.7,,
NR-0478,6,,109,1186,5,gazella,phalanx_1,"PH12,PH13",,,,2,3,,,,,14.9,reddish,,cut,,,,,,mixed-2,,,,,,,,,,,
NR-0479,6,,109,1153,5,bovid_2,mandible,DN7,,,,5,,,,,,32,reddish,,,,,,,,,,,,,,,,,,,
NR-0480,6,,115,1158,6,bovid_2,femur,FE4,,,,6,,,,,,49,reddish,,,,,,,,green-2,,,,,,,,,,,
NR-0481,6,,109,1153,5,bovid_2,mandible,"m1/2,DN4",,M1/2,,1,,,,,,17.6,reddish_black,,,,2,,,,,,,,,,,,,,,
NR-0482,6,,109,1153,5,lepus,tibia,,,,,,,,,,,29.2,reddish_black,,,,2,,,,green-2,,,,,,,right,,,,
NR-0483,6,,115,1150,6,bovid_2,tibia,"TI2,TI3",,,,"7,8",,,,,,55.4,reddish,,,,,,,,mixed-2,,,,,,,,,,,
NR-0484,6,,115,1150,6,bovid_2,tibia,TI3,,,,"8,9",,,,,,57.3,black,,,,1,,,,dry-2,,,,,,,,,,,
NR-0485,6,,115,1150,6,bovid_2,humerus,"HU3,HU4",,,,"10,8",,,,,,38.8,light,,,,2,,,,green-2,,,,,,,,,,,
NR-0486,6,,109,1173,5,bovid_2,tibia,TI3,,,,"8,9",,,,,,35.2,reddish_black,,,,1,,,,green-2,,,,,,,,,,,
NR-0487,6,,114,1137,7b,bovid_2,femur,FE4,,,,6,,,,,,36.5,light,1,,,,,,,mixed-2,,,,,,,,,,,
NR-0488,6,,115,1092,6,bovid_2,metacarpal,MP1,,,,2,,,,pF,,32.6,reddish,,,,,,,,mixed-2,,,,,,,right,,,,
NR-0489,6,,115,1150,6,bovid_2,radius,RA2,,,,"6,F",,,,,,49.3,black,,,,2,,,,green-2,,,,,,,left,,,,
NR-0490,6,,109,1105,5,bovid_2,rib,RI3,,,,2,,,,,,27.9,reddish,,,,,,,,,,,,,,,,,,,
NR-0491,6,,115,1150,6,bovid_2,humerus,HU3,,,,8,,,,,,28,reddish_black,,,,,,,,green-2,,,,,,,left,,,,
NR-0492,6,,109,1186,5,gazella,maxilla,DP4,,dp4,,,,,,,active_wear,19.5,reddish,,,,,,,,,,,,3,,broken,,,,,
NR-0493,6,,109,1110,5,gazella,maxilla,P4,,P4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0495,6,,114,1137,7b,gazella,maxilla,DP2,,dp2,,,,,,,active_wear,19.4,reddish,,,,,,,,,,,,,,broken,,,,,
NR-0496,6,,109,1185,5,capra,maxilla,M1,,M1,,,,,,,slight_wear,31.9,reddish,,,,,,,,,,,,2,,30.5,right,,,,
NR-0497,6,,114,1175,7b,capra,maxilla,P4,,P4,,,,,,,active_wear,25.2,reddish,,,,,,,,,,,,3,,23.5,,,,,
NR-0498,6,,114,1139,7b,gazella,pelvis,PU1,,pubis,,8,3,,,,,31.7,black,,,,2,,,,,,,,,,,,,,,
NR-0499,6,,109,1160,5,bovid_2,scapula,SP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR-0500,6,,109,1098,5,bovid_2,tibia,TI2,,,,8,,,,,,40.9,gray_white,,,,3,,,,green-2,,,,,,,,,,,
NR-0501,6,,115,1158,6,bovid_2,tibia,"TI2,TI3",,,,"8,9,10",,,,,,84.2,reddish_black,,,,1,,,,green-2,,,,,,,,,,,
NR-0502,6,,114,1175,7b,bovid_2,pelvis,"AC1,IL2",,ilium,,,"1,5",,,,,44.8,reddish,1,,,1,,,,,,,,,,,,,,,
NR-0503,6,,104,1042,3,bovid_2,phalanx_1,"PH11,PH12,PH13",,,,1,"3,2",,,,,27.5,gray_white,1,,,3,,,,,,,,,,,,,Bd=12.3,Dd=10.5,
NR-0505,6,,109,1186,5,gazella,cranium,CR3,,horn ,,,,,,,,40.6,light,,,,,,,,,,,,,,,(special bag ),,,,
NR-0506,6,,104,1042,3,capra,phalanx_2,"PH21,PH22,PH23",,,,"1,2,3",,,,,,26.1,reddish,1,,,,,,,mixed-2,,,,,,,(special bag ),,,,
NR-0507,6,,109,1098,5,bovid_2,tibia,"TI2,TI3",,,,"7,8,9",,,,,,74.3,reddish,,,,,,,,mixed-2,,,,,,,,,,,
NR-0509,6,,109,1185,5,bovid_2,femur,FE5,,,,8,,,,,,48.8,light,1,,,,,,,green-2,,,,,,,,,,,
NR-0510,6,,117,1178,7a,bovid_2,radius,RA4,,,,"8,9,","G,H",,,,,76.3,reddish,,,,,,,,mixed-2,,,,,,,,,,,
NR-0511,6,,109,1098,5,bovid_2,rib,RI2,,,,,1,,,,,21.7,reddish_black,,,,1,,,,,,,,,,,,,,,
NR-0512,6,,114,1175,7b,bovid_2,rib,RI2,,,,,1,,,,,24.8,reddish,,,,,,,,,,,,,,,,,,,
NR-0513,6,,115,1158,6,bovid_2,humerus,"HU4,HU5",,,,"11,8",10,,,,,55.6,reddish,,,,,,,,green-2,,,,,,,,,,,
NR-0514,6,,114,1175,7b,bovid_2,radius,RA2,,,,6,,,,,,34.9,reddish_black,2,,,,,,,mixed-2,,,,,,,,,,,
NR-0515,6,,115,1189,6,capra,tibia,TI5,,,,6,,,,,,16.7,reddish,,,,,,,,,,,,,,,,,,,
NR-0517,6,,109,1098,5,capra,metatarsal,MP5,,,,,4,,,dF,,37.6,reddish,,,,,,,,mixed-2,,,,,,,right,,,DEM=9.9 DVM=12.7 DDM=15.3 BF=11.6,
NR-0518,6,,114,1175,7b,bovid_2,rib,RI3,,,,2,,,,,,31.7,reddish,1,,,,,,,,,,,,,,,,,,
NR-0519,6,,115,1189,6,capra,ulna,"UL1,UL2",,,,"E,B","C,D",,,,,43.6,reddish_black,,,,,,,,mixed-2,,,,,,,,,BPC=24.3,,
NR-0520,6,,109,1160,5,bovid_2,metatarsal,MP1,,,,"2,1?",,,,pF,,19.9,reddish,1,cut,MTp1,,,,,green-2,,,,,,,(special bag ),,,,
NR-0521,6,,109,1186,5,bovid_2,ulna,UL2,,,,,C,,,,,29.9,reddish,,,,,,,,,,some,,,,,left,,,,
NR-0522,6,,114,1175,7b,bovid_2,ulna,UL2,,,,,C,,,,,27.3,reddish_black,,,,1,,,,,,,,,,,,,,,
NR-0523,6,,115,1092,6,bovid_2,tibia,"TI3,TI4",,,,"10,9",,,,,,49.5,reddish,,,,,,,,green-2,,,,,,,,,,,
NR-0524,6,,114,1137,7b,bovid_2,metapodial,"MP2,MP3",,,,"5,7",,,,,,52.2,reddish,1,,,,,,,dry-2,,,,,,,,,,,
NR-0526,6,,115,1158,6,bovid_2,calcaneus,CA1,,,,,1,,,pUE,,15.7,reddish,,,,,,,,,,,,,,,,,,,
NR-0528,6,,109,1186,5,bovid_2,tibia,TI1,,,,7,,,,,,47.1,reddish,,,,,,,,green-2,,,,,,,,,,,
NR-0529,6,,109,1098,5,bovid_2,humerus,HU4,,,,"8,7",,,,,,41.6,reddish_black,,,,1,,,,mixed-2,,,,,,,,,,,
NR-0530,6,,109,1168,5,bovid_2,cranium,CR3,,horn ,,,,,,,,64.3,light,,,,,,,,,,,,,,,,,,,
NR-0531,6,,115,1092,6,bovid_2,vert_t,TH1,,,,,,,,,,18,reddish,,,,,,,,,,,,,,,,,,,
NR-0532,6,,114,1175,7b,bovid_2,metatarsal,MP2,,,,"5,6",,,,,,32.8,reddish,,,,1,,,,green-2,,,,,,,,,,,
NR-0533,6,,115,1092,6,bovid_2,metacarpal,MP2,,,,"5,6",,,,,,33.2,black,,,,2,,,,green-2,,,,,,,,,,,
NR-0534,6,,114,1175,7b,bovid_2,carpal,,,,,,,,,,,19.8,reddish,1,,,,,,,,,,,,,,,,,,
NR-0535,6,,115,1158,6,bovid_2,mandible,DN6,,,,6,,,,,,30.1,light,,,,,,,,,,,,,,,,,,,
NR-0536,6,,109,110,5,bovid_2,tibia,"TI2,TI3",,,,"7,8",,,,,,51.1,reddish,,,,,,,,green-2,,,,,,,,,,,
NR-0538,6,,115,1158,6,capra,phalanx_2,"PH21,PH22,PH23",,,,,"1,2,3",,,,,23.7,reddish,,,,,,,,,,,,,,,,,,,
NR-0540,6,,109,1185,5,bovid_2,calcaneus,CA2,,,,,,,,,,13,reddish,1,,,,,,,,,,,,,,,,,,
NR-0541,6,,109,1168,5,gazella,mandible,p2-p3,,"P2,P3",,,1,,,,late_wear,52.3,reddish,1,,,,,,,,,,,4,,,,,,,
NR-0542,6,,109,1110,5,bovid_2,tibia,TI4,,,,,,,,dUM,,59.8,reddish,,,,,,,,,,,,,,,,,,,
NR-0543,6,,109,1084,5,bovid_2,rib,RI2,,,,1,,,,,,32.8,reddish,,,,,,,,,,,,,,,,,,,
NR-0545,6,,109,1168,5,bos,vert_c,CE1,,,,"3,2",,,,,,36.5,reddish,,,,,,,,,,,,,,,(special bag ),,,,
NR-0546,6,,109,1184,5,bovid_2,maxilla,"M1,M2",,"M1,2?",,,,,,,,21.5,black,,,,2,,,,,,,,,,,broken ,,,,
NR-0547,6,,114,1137,7b,corvidae,tibiotarsus,,,,,,,,,,,26.2,reddish,1,,,,,,,,,,,,,,,,,,
NR-0548,6,,114,1175,7b,bovid_2,metatarsal,MP3,,,,"6,8",,,,,,60.2,reddish,1,,,,,,,green-2,,,,,,,,,,,
NR-0550,6,,109,1168,5,alectoris,humerus,,,,,,,,,,,47.5,reddish,,,,,carnivore_pit,,,,,,,,,,(special bag ) carnivore_pit?,,,,
NR-0551,6,,109,1160,5,bovid_2,phalanx_1,"PH11,PH12,PH13",,,,,"1,2,3",,,pUE,,12,reddish_black,,,,2,,,,,,,,,,,,,,,
NR-0552,6,,115,1150,6,bovid_2,mandible,DN4,,,,1,,,,,,54.8,reddish,,,,,,,,dry-2,,,,,,,,,,,
NR-0553,6,,114,1175,7b,bovid_2,mandible,DN6,,,,5,,,,,,24.5,reddish,1,,,,,,,,,,,,,,,,,,
NR-0555,6,,109,1098,5,gazella,cranium,CR3,,horn ,,,,,,,,42,reddish,,,,,,,,,,,,,,,,,,,
NR-0556,6,,104,1042,3,gazella,cranium,CR3,,horn ,,,,,,,,32.5,reddish,,,,,,,,,,,,,,,,,,,
NR-0558,6,,115,1158,6,bovid_2,carpal,,,,,,,,,,,20.9,black,,,,2,,,,,,,,,,,,,,,
NR-0559,6,,114,1175,7b,capra,maxilla,M3,,M3,,1,,,,,active_wear,37.4,reddish,,,,,,,,,,,,3,,35,right,,,,
NR-0560,6,,109,1110,5,bovid_2,humerus,HU4,,,,8,,,,,,29,reddish,,,,,,,,dry-2,,,,,,,,,,,
NR-0561,6,,109,1110,5,capra,maxilla,P4,,P4,,1,,,,,late_wear,26.5,reddish,,,,,,,,,,,,4,,,right,,,,
NR-0562,6,,115,1158,6,bovid_2,femur,FE1,,,,,1,,,,,21.9,reddish,,,,,,,,,,,,,,,,,,,
NR-0563,6,,109,1186,5,gazella,pelvis,"AC1,IS1",,ilium,,6,2,,,,,35.8,reddish,,,,1,,,,,,,,,,,left,,,,
NR-0565,6,,115,1158,6,bovid_2,vert_l,LU1,,,,1,,,,,,20.1,black,,,,2,,,,,,,,,,,,,,,
NR-0567,6,,115,1092,6,bovid_2,radius,RA2,,,,6,,,,,,33.4,reddish,1,,,,,,,green-2,,,,,,,left,,,,
NR-0569,6,,114,1137,7b,bovid_2,maxilla,tooth_fragment,,molar,,,,,,,,19.8,reddish,,,,,,,,,,,,,,,,,,,
NR-0570,6,,115,1189,6,bovid_2,rib,RI4,,,,3,,,,,,28.9,reddish,,,,,,,,,,,,,,,,,,,
NR-0572,6,,116,1152,8,lepus,phalanx_1,"PH11,PH12,PH13",,,,"1,2,3",,,,dF,,19.9,reddish,,,,,,,,,,,,,,,,GL=29.8,Bp=5.7 ,Bd=3.6 Dd=2.8,
NR-0573,6,,109,1186,5,bovid_2,radius,,,,,,,,,,,38.8,reddish,,,,,,,,green-2,,,,,,,,,,,
NR-0574,6,,114,1137,7b,capra,mandible,DN4,,,,1,,,,,,19.5,reddish,,,,,,,,,,,,,,broken,,,,,
NR-0575,6,,104,1042,3,bovid_2,calcaneus,"CA1,CA2",,,,"1,2",,,,,,33.6,reddish,,,,,,,,,,,,,,,,,,,
NR-0576,6,,109,1084,5,gazella,phalanx_1,"PH12,PH13",,,,,"3,2",,,pF,,25.1,reddish,,,,,,,,green-2,,,,,,,,,,Bd=9.1 Dd=10.4,
NR-0577,6,,115,1158,6,bovid_2,radius,RA2,,,,2,,,,,,22.9,reddish,,,,,,,,mixed-2,,,,,,,left ,,,,
NR-0578,6,,109,1186,5,bovid_2,metacarpal,MP1,,,,1,,,,pF,,23.9,reddish,,,,,,,,green-2,,,,,,,,,,,
NR-0581,6,,109,1153,5,bovid_2,tibia,TI2,,,,7,,,,,,29.3,reddish,,,,,,,,mixed-2,,,,,,,,,,,
NR-0583,6,,114,1175,7b,capra,metacarpal,"MP4,MP6",,,,"4,3","8,7",,,dF,,43.9,reddish,1,,,,,,,dry-2,some,,,,,,,,DEM=9.9 Ddm=16.5 DVM=13.3 WCM=12.1 DEL=10.1 DdI=16.3 DVL=13.7 WCL=11.7 BF=25.3,,
NR-0584,6,,109,1168,5,bovid_2,rib,RI2,,,,,1,,,,,25.9,reddish,,,,,,,,,,,,,,,,,,,
NR-0585,6,,114,1175,7b,gazella,phalanx_2,"PH22,PH23",,,,"3,2",,,,dF,,18.3,reddish,,,,,,,,,,,,,,,,,,,
NR-0586,6,,109,1186,5,gazella,pelvis,PU1,,pubis,,"8,9",,,,,,26,reddish_black,,,,2,,,,,,,,,,,male,,,,
NR-0587,6,,114,1137,7b,bovid_2,vert_c,"CE1,CE2",,,,"2,3",,,,,,30.2,reddish,,,,,,,,,,,,,,,,,,,
NR-0588,6,,104,1042,3,bovid_2,mandible,DN4,,,,1,,,,,,27.2,reddish,,,,,,,,,,,,,,,,,,,
NR-0590,6,,114,1175,7b,bovid_2,rib,RI4,,,,3,,,,,,31,reddish,,,,,,,,,,,,,,,,,,,
NR-0591,6,,109,1110,5,capra,maxilla,M3,,M3,,,1,,,,active_wear,30.2,reddish,,,,,,,,,,,,3,,27.3,left,,,,
NR-0592,6,,109,1168,5,capra,mandible,m3,,M3,,,,,,,,broken,reddish,1,,,,,,,,,,,,,,,,,,
NR-0594,6,,109,1160,5,bovid_2,humerus,HU1,,,,"2,3",,,,,,53.9,reddish,,cut,,,,,,,,,,,,,,,,,
